Altium Designer Pick and Place Locations
C:\Users\s.joy\OneDrive - Fugro\Documents\R&D\Dev Board STM32G041\Dev Board STM32G041\Project Outputs for Dev Board STM32G041\Pick Place for STM32G041.csv

========================================================================================================================
File Design Information:

Date:       24-03-24
Time:       01:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J5","1729128","TopLayer","PHOE-1729128-2_V","68.3260","60.1980","270","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk"
"U3","STM32G041F8P6","TopLayer","CLT34BT6","96.6470","74.6760","0","Integrated Circuit"
"U1","LT1129IST-3.3#TRPBF","TopLayer","LT-ST-3-SOT-223_L","68.3260","73.6600","180","Micropower Low Dropout Regulator with Shutdown, 4.15 to 30 V Vin, 3.3 V Vout, 3-pin SOT223 (ST-3), -40 to 125 degC, Pb-Free, Tape and Reel"
"TP1","5019","TopLayer","KSTN-5019_V","76.9620","79.2480","0","Test Point, 1 Position SMD, RoHS, Tape and Reel"
"SW1","FSMSMTR","TopLayer","TECO-FSMSMTR_V","79.1972","64.8208","0","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"R18","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","105.0290","61.2140","90","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R17","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","101.7270","61.2140","90","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R15","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","98.2980","61.2140","90","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R16","CRCW0805100RJNEAHP","TopLayer","FP-CRCW0805-HPe3-IPC_C","77.3430","84.8360","0","RES Thick Film, 100O, 5%, 0.5W, 200ppm/°C, 0805"
"R14","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","94.8690","61.3410","90","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R12","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","91.0590","61.3410","90","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R11","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","87.8120","61.3410","90","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R13","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","86.1060","88.7730","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R10","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","114.0460","80.2640","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R9","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","114.0460","76.7080","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R8","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","114.0460","73.1520","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R7","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","114.0460","69.9770","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R6","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","114.0460","66.8020","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R5","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","114.0460","63.7540","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R4","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","97.2820","87.7325","270","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R3","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","99.8220","87.7570","270","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R2","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","102.3620","87.7570","270","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"R1","CRGP0805F120R","TopLayer","FP-CRGP0805-IPC_C","72.4521","81.6610","180","CRGP0805 120O 0.33W ±100ppm/°C 1% 150V"
"J4","FTSH-105-01-F-D-K","TopLayer","FTSH-105-XX-YYY-D-K","84.7090","84.0740","180","Connector"
"J3","61300611121","TopLayer","61300611121","96.6470","64.7700","0",""
"J2","61300611121","TopLayer","61300611121","110.1090","71.8820","90",""
"J1","61300611121","TopLayer","61300611121","101.0920","84.2010","180",""
"D7","SD0805S020S1R0","TopLayer","SD0805S020S1R0","85.6320","68.3260","180","Schottky Diode"
"D19","150080GS75000","TopLayer","WL-SMCW_0805_150080xx75000","105.0290","56.0070","90",""
"D18","150080GS75000","TopLayer","WL-SMCW_0805_150080xx75000","101.7270","56.0070","90",""
"D17","150080GS75000","TopLayer","WL-SMCW_0805_150080xx75000","98.2980","56.0070","90",""
"D14","150080GS75000","TopLayer","WL-SMCW_0805_150080xx75000","94.8690","56.0070","90",""
